Year,Month,ProductKey,OrderDate,ShipDate,CustomerKey,PromotionKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,TaxAmt
2008,7,217,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,11792,1,4,SO61269,1,1,34.99,13.0863,34.99,2.7992
2008,7,231,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,11792,1,4,SO61269,2,1,49.99,38.4923,49.99,3.9992
2008,7,485,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,18259,1,9,SO61270,1,1,21.98,8.2205,21.98,1.7584
2008,7,538,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,20454,1,9,SO61271,1,1,21.49,8.0373,21.49,1.7192
2008,7,480,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,20454,1,9,SO61271,2,1,2.29,0.8565,2.29,0.1832
2008,7,528,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,21239,1,9,SO61272,1,1,4.99,1.8663,4.99,0.3992
2008,7,480,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,21239,2,9,SO61272,2,1,2.29,0.8565,2.29,0.1832
2008,7,477,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,23430,1,9,SO61273,1,1,4.99,1.8663,4.99,0.3992
2008,7,225,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,27148,1,9,SO61274,1,1,8.99,6.9223,8.99,0.7192
2008,7,475,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,27148,1,9,SO61274,2,1,69.99,26.1763,69.99,5.5992
2008,7,222,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,13996,1,9,SO61275,1,1,34.99,13.0863,34.99,2.7992
2008,7,488,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,17252,1,9,SO61276,1,1,53.99,41.5723,53.99,4.3192
2008,7,225,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,17252,1,9,SO61276,2,1,8.99,6.9223,8.99,0.7192
2008,7,594,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,15050,1,8,SO61277,1,1,564.99,308.2179,564.99,45.1992
2008,7,490,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,15050,1,8,SO61277,2,1,53.99,41.5723,53.99,4.3192
2008,7,225,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,15050,1,8,SO61277,3,1,8.99,6.9223,8.99,0.7192
2008,7,580,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,22308,1,10,SO61278,1,1,1700.99,1082.51,1700.99,136.0792
2008,7,479,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,22308,1,10,SO61278,2,1,8.99,3.3623,8.99,0.7192
2008,7,477,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,22308,1,10,SO61278,3,1,4.99,1.8663,4.99,0.3992
2008,7,488,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,22308,1,10,SO61278,4,1,53.99,41.5723,53.99,4.3192
2008,7,363,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,12859,2,10,SO61279,1,1,2294.99,1251.9813,2294.99,183.5992
2008,7,485,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,12859,1,10,SO61279,2,1,21.98,8.2205,21.98,1.7584
2008,7,214,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,11891,1,4,SO61280,1,1,34.99,13.0863,34.99,2.7992
2008,7,539,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,28808,1,1,SO61281,1,1,24.99,9.3463,24.99,1.9992
2008,7,480,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,11306,1,4,SO61282,1,1,2.29,0.8565,2.29,0.1832
2008,7,538,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,26273,1,1,SO61283,1,1,21.49,8.0373,21.49,1.7192
2008,7,529,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,26273,1,1,SO61283,2,1,3.99,1.4923,3.99,0.3192
2008,7,222,2008-07-01 00:00:00.000,2008-07-08 00:00:00.000,26273,1,1,SO61283,3,1,34.99,13.0863,34.99,2.7992
