,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
0,2022-06-25 22:51:18+00:00,https://twitter.com/poetrineer/status/1540830018590461960,poetrineer,Twitter for Android,,"So as one of my commitment to document my learning process on the #30DaysOfLearning with @TheOyinbooke
I am still on the task for Day 09, which is building report, dashboard using PowerBI, and then document on Github.
It's been very uneasy for me, using a 'problematic' PC 😕😐",0,0,0,1
1,2022-06-25 22:44:10+00:00,https://twitter.com/poetrineer/status/1540828224011239429,poetrineer,Twitter for Android,,"Finally, here is my updated COVID-19 Data Analysis Report on my Github account.

I heartedly covet your criticisms..

#30DaysOfLearning  @Microsoft #DataAnalytics
 
https://t.co/2YdhYN3hd2",1,0,0,0
2,2022-06-25 19:25:58+00:00,https://twitter.com/MichealOjuri/status/1540778346144944129,MichealOjuri,Twitter Web App,"Oyo, Nigeria","#30NGDaysOfLearning
#30daysoflearning 
#microsoft

Day 6
General Track - Recap for the Week

Day 7
Feedback and Cloud Skill Challenge Day

I just finished week one in 'Microsoft 30 Days of Learning'. I know I am a little behind, so much to do. However, I'll catch up, slowly!",0,0,0,0
3,2022-06-25 16:44:36+00:00,https://twitter.com/oye__aashu/status/1540737736205750273,oye__aashu,Twitter for Android,"Nainital, India",Day 4/ #30daysoflearning learned all about array method,3,0,0,1
4,2022-06-25 12:49:02+00:00,https://twitter.com/hsb_data/status/1540678455552909312,hsb_data,Twitter Web App,New Jersey,Learning about sub queries on @DataCamp (SQL) #AllAboutTheData #30daysoflearning,0,0,0,0
5,2022-06-25 12:33:31+00:00,https://twitter.com/TheOyinbooke/status/1540674547220742145,TheOyinbooke,Twitter for Android,Nigeria,"Below are my Blended Learning and Data Analysis Course Certificates from  @FutureLearn during those period.

Join Cloud Skill Challenge here
🔴Data Analysis https://t.co/yW1c3SbnyV
🔵Power Platform https://t.co/Vq0Tq5FP4D
🟡Data Science https://t.co/bjt4maJN1Q
#30DaysOfLearning https://t.co/zXJ1fvfxQ2",16,3,0,1
6,2022-06-25 12:23:14+00:00,https://twitter.com/Adeyemoore/status/1540671961939836928,Adeyemoore,Twitter Web App,"Lagos, Nigeria",Just had some free time to catch up with some of the #NG30DaysOfLearning lectures due to the Financial Analysis Program I am running with ALX . So I created my first dashboard today thanks to @TheOyinbooke. I am welcoming corrections from everyone @jessica_xls @OluwatobiYusuf_ https://t.co/TSyUwebZFp,59,6,1,3
7,2022-06-25 09:01:57+00:00,https://twitter.com/OnabanjoMico/status/1540621307691384832,OnabanjoMico,Twitter for Android,"Lagos, Nigeria","One of the things I have learnt in Automated ML is not only the Modelling operation in the cloud but able to work with the Operation i.e (DIY) by working towards
getting the best results that will beat the azure operation if possible 
@TheOyinbooke  #NG30daysofLearning https://t.co/UjhM0H0Fn7",3,0,0,0
8,2022-06-25 07:20:07+00:00,https://twitter.com/De_DataGirl/status/1540595677801193473,De_DataGirl,Twitter Web App,"Abia, Nigeria","Sometimes EDA should be done first on a dataset before trying to clean missing values. Just got saved from mindlessly using mean imputation.

#30daysoflearning #DataScience #dataScientist",1,1,0,0
9,2022-06-25 03:57:24+00:00,https://twitter.com/GioGuarin/status/1540544662427111425,GioGuarin,Twitter for iPhone,"Palm Beach, FL","3 | #30daysoflearning 

Offline day today, took my nephew out to the movies after work and came back home late. Tomorrow is my Friday and I’ll end up making up for it. 

GN!",0,0,0,0
10,2022-06-25 01:46:39+00:00,https://twitter.com/ibraheem_amodu/status/1540511759022301184,ibraheem_amodu,Twitter for Android,"Abuja, Nigeria","Day 3 
Learned how to build interactive dashboard in MS Excel.
Did analysis and built a dashboard using the #COVID19 dataset I scraped in day 2 then documented it on #github
 check out my work at https://t.co/Mf35kVsQwd
@TheOyinbooke
#NG30DaysOfLearning 
#Microsoft https://t.co/IsUVe4iFO6",0,0,0,1
11,2022-06-25 01:46:22+00:00,https://twitter.com/ibraheem_amodu/status/1540511689313079298,ibraheem_amodu,Twitter for Android,"Abuja, Nigeria","Week 1 of the  #NG30DaysOfLearning 
A thread 🧵",2,0,0,1
12,2022-06-25 00:51:43+00:00,https://twitter.com/Abiola_158/status/1540497933572968448,Abiola_158,Twitter Web App,Nigeria,"Hi fam, kindly check out my recent analysis on covid'19 cases here .... https://t.co/SOmgKrt7ha
All thanks to 
@TheOyinbooke
 &amp; other Microsoft members for this opportunity!
@hassanah_aa 
@DataFestAfrica 
@MARKce_ 
@Zionbonzo 
 #NG30DaysOfLearning https://t.co/sOr7Siuc5k",2,1,0,0
13,2022-06-24 23:49:06+00:00,https://twitter.com/Abdroqeeb_Ola/status/1540482177531625473,Abdroqeeb_Ola,Twitter for Android,"Oyo, Nigeria","Currently going through this session and I must say @AhmedOyelowo is a great teacher🙌🏾🙌🏾🔥
He really simplified data modelling and DAX in Power BI.

#NG30DaysOfLearning #DataAnalytics #Microsoft https://t.co/tFpFei5cYF",3,0,0,0
14,2022-06-24 23:47:25+00:00,https://twitter.com/OnabanjoMico/status/1540481752988323843,OnabanjoMico,Twitter for Android,"Lagos, Nigeria","AUTOMATED ML
Afta selecting a dataset I automate d modelling using Linear Regression algorithm with Rndom Forest and LightGBM models and I set a short time for the operation
#NG30DaysOfLearning
I observed dat time taking for the operatn cld be one of the ways to get a Best MODEL https://t.co/8zSNoZYCGf",1,0,0,0
15,2022-06-24 23:22:31+00:00,https://twitter.com/MichealOjuri/status/1540475489390829569,MichealOjuri,Twitter for Android,"Oyo, Nigeria","#30NGDaysOfLearning
#30daysoflearning
#microsoft
#Day5

A Day in the life of a Data Analyst!

Cornucopia of experience, knowledge and motivation 🔥",0,0,0,0
16,2022-06-24 22:56:52+00:00,https://twitter.com/OnabanjoMico/status/1540469030548545536,OnabanjoMico,Twitter Web App,"Lagos, Nigeria","Currently working on machine learning in azure cloud

As i speak now the model is running, will give you the gist later

#NG30DaysOfLearning @TheOyinbooke",4,0,0,0
